Brand,Model,Year,VehicleAge,UsedOrNew,Transmission,DriveType,FuelType,EngineSizeL,Cylinders,FuelConsumption_L100km,Kilometres,ExteriorColour,InteriorColour,State,BodyType,Doors,Seats,Price,PricePerYearAge
Toyota,Corolla,2010,13,USED,Manual,Front,Unleaded,1.8,4.0,7.7,238270.0,Grey,,NSW,Hatchback,5.0,5.0,8800.0,676.9230769230769
Toyota,HiAce,2009,14,USED,Automatic,Rear,Unleaded,,,,76259.0,White,Black,NSW,Commercial,,,32900.0,2350.0
Jeep,Patriot,2015,8,USED,Automatic,4WD,Unleaded,2.4,4.0,9.1,140964.0,Black,,NSW,SUV,4.0,5.0,13990.0,1748.75
Toyota,HiAce,2003,20,USED,Automatic,Rear,Unleaded,2.4,4.0,,266848.0,White,Grey,NSW,Commercial,4.0,3.0,9999.0,499.95
Volvo,S60,2013,10,USED,Automatic,Front,Premium,1.6,4.0,7.4,141000.0,Blue,,NSW,Sedan,4.0,5.0,14999.0,1499.9
Mitsubishi,Triton,2016,7,USED,Automatic,4WD,Diesel,2.4,4.0,7.6,240402.0,White,,NSW,Ute / Tray,4.0,5.0,22750.0,3250.0
Mercedes-Benz,E250,2010,13,USED,Automatic,Rear,Premium,1.8,4.0,7.9,101126.0,Black,Tobacco,NSW,Coupe,2.0,4.0,21950.0,1688.4615384615386
Mercedes-Benz,A250,2013,10,USED,Automatic,Front,Premium,2.0,4.0,6.6,117254.0,White,,NSW,Hatchback,5.0,5.0,19999.0,1999.9
Toyota,86,2012,11,USED,Manual,Rear,Premium,2.0,4.0,7.8,178747.0,Silver,Black,NSW,Coupe,2.0,4.0,19900.0,1809.090909090909
Mazda,CX-5,2022,1,USED,Automatic,AWD,Unleaded,2.5,4.0,7.5,10579.0,Black,Black,NSW,SUV,4.0,5.0,37990.0,37990.0
Toyota,Corolla,2010,13,USED,Automatic,Front,Unleaded,1.8,4.0,7.7,167101.0,Red,,NSW,Hatchback,5.0,5.0,12990.0,999.2307692307693
Ford,Falcon,2013,10,USED,Automatic,Rear,Unleaded,4.0,6.0,9.9,163161.0,Blue,Black,NSW,Sedan,4.0,5.0,16999.0,1699.9
Abarth,595,2021,2,USED,Manual,Front,Premium,1.4,4.0,6.0,13200.0,Black,Black,NSW,Hatchback,3.0,4.0,36990.0,18495.0
Honda,CR-V,2014,9,USED,Automatic,4WD,Unleaded,2.4,4.0,8.7,103211.0,White,Black Cloth,NSW,SUV,4.0,5.0,23880.0,2653.3333333333335
Toyota,Corolla,2007,16,USED,Automatic,Front,Unleaded,1.8,4.0,7.4,177751.0,Silver,,NSW,Sedan,4.0,5.0,10990.0,686.875
Toyota,HiAce,2016,7,USED,Automatic,Rear,Unleaded,2.7,4.0,10.9,119614.0,Silver,Black,NSW,Other,3.0,14.0,44900.0,6414.285714285715
Hyundai,I30,2012,11,USED,Automatic,Front,Unleaded,1.8,4.0,6.9,125546.0,Black,Black Cloth,NSW,Hatchback,5.0,5.0,15880.0,1443.6363636363637
Mazda,6,2013,10,USED,Automatic,Front,Unleaded,2.5,4.0,6.6,163000.0,Grey,Black,NSW,Sedan,4.0,5.0,16995.0,1699.5
